,Game ID,Player,Outcome,Team,Kills,Deaths,+/-,Flag Captures,Flag Attempts,Switch,Elected,Assassinations,Score,Time Played,Death Chart,Damage Dealt,Damage Taken,DR,DKR,DDF,Laser DD,Laser DT,Missile DD,Missile DT,Grenade DD,Grenade DT,Bouncy DD,Bouncy DT,Killed Most - Players,Killed Most - Values,Killed Most By - Players,Killed Most By - Values,Damaged Most - Players,Damaged Most - Values,Damaged Most By - Players,Damaged Most By - Values
1780,212,Zinks,0,2,68,34,34,1.0,4.0,,,,1,31,http://cta.critical-hq.net/chart.php?player=Zinks&matchID=212,14996,10348,1.4491689215307306,221,432,9886,5863,102,414,2050,1154,2958,2917,Obama2012 Helwor lowkey 20LbGenitals Vendetta yummierdog117 Fudorm,15 14 11 10 9 8 1,yummierdog117 Vendetta Obama2012 Helwor lowkey 20LbGenitals,10 7 5 5 4 3,Obama2012 Helwor lowkey Vendetta yummierdog117 20LbGenitals Fudorm,3084 2967 2645 2147 2112 1829 212,Obama2012 lowkey yummierdog117 Vendetta 20LbGenitals Helwor Fudorm,1930 1913 1754 1654 1590 1231 276
1781,212,cyro,0,2,67,52,15,3.0,8.0,,,,1,28,http://cta.critical-hq.net/chart.php?player=cyro&matchID=212,14617,14524,1.0064031947122005,218,1268,8695,8246,1048,1567,1548,1174,3326,3537,Helwor yummierdog117 20LbGenitals Vendetta lowkey Obama2012,15 14 13 9 8 8,Obama2012 yummierdog117 Vendetta lowkey 20LbGenitals Helwor,17 10 8 6 6 5,Helwor yummierdog117 lowkey 20LbGenitals Obama2012 Vendetta Fudorm,2809 2468 2419 2390 2200 2043 288,Obama2012 lowkey Helwor Vendetta yummierdog117 20LbGenitals Fudorm,2976 2823 2682 2248 1785 1632 378
1782,212,southpaw,0,2,59,54,5,0.0,7.0,,,,1,34,http://cta.critical-hq.net/chart.php?player=southpaw&matchID=212,15378,14396,1.068213392609058,261,1282,10261,8738,306,1138,1473,1433,3338,3087,20LbGenitals lowkey Vendetta Helwor Obama2012 yummierdog117 Fudorm,12 12 11 8 7 5 4,lowkey Obama2012 yummierdog117 20LbGenitals Helwor Vendetta Fudorm,14 10 8 8 7 5 2,Helwor 20LbGenitals Obama2012 lowkey Vendetta yummierdog117 Fudorm,2795 2622 2505 2346 2323 2104 683,lowkey 20LbGenitals Obama2012 Helwor Vendetta yummierdog117 Fudorm,3076 2620 2543 2200 1930 1639 388
1783,212,USA,0,2,47,54,-7,2.0,4.0,,,,1,28,http://cta.critical-hq.net/chart.php?player=USA&matchID=212,11296,14035,0.8048450302814393,240,765,7793,8515,520,1086,961,1404,2022,3030,Helwor 20LbGenitals Obama2012 lowkey yummierdog117 Vendetta Fudorm,10 10 9 8 5 3 2,Obama2012 yummierdog117 Vendetta 20LbGenitals Helwor lowkey Fudorm,15 10 9 8 6 5 1,20LbGenitals Obama2012 Helwor lowkey yummierdog117 Vendetta Fudorm,2142 1992 1760 1735 1634 1588 445,Vendetta Obama2012 yummierdog117 20LbGenitals Helwor lowkey Fudorm,2669 2631 2591 2121 1898 1655 470
1784,212,ergophonics,0,2,41,54,-13,1.0,8.0,,,,1,30,http://cta.critical-hq.net/chart.php?player=ergophonics&matchID=212,16392,14154,1.1581178465451463,400,1548,11279,9347,306,358,1755,1495,3052,2954,yummierdog117 Vendetta Obama2012 lowkey 20LbGenitals Helwor Fudorm,8 8 7 7 5 4 2,Vendetta 20LbGenitals yummierdog117 Obama2012 Helwor lowkey Fudorm,13 10 9 8 7 6 1,Vendetta lowkey Helwor 20LbGenitals Obama2012 yummierdog117 Fudorm,3326 2999 2723 2400 2372 2274 298,lowkey Helwor 20LbGenitals yummierdog117 Obama2012 Vendetta Fudorm,2483 2481 2390 2267 2138 1991 404
1785,212,Anenemoos,0,2,27,50,-23,1.0,3.0,,,,1,30,http://cta.critical-hq.net/chart.php?player=Anenemoos&matchID=212,9463,12500,0.75704,350,852,5452,8404,772,714,957,812,2282,2570,lowkey 20LbGenitals Helwor Vendetta yummierdog117,6 6 6 5 4,lowkey Vendetta yummierdog117 Helwor Obama2012 20LbGenitals Fudorm,12 10 9 8 6 4 1,20LbGenitals Helwor yummierdog117 lowkey Vendetta Obama2012 Fudorm,2438 1714 1703 1414 1100 953 141,Helwor 20LbGenitals Vendetta yummierdog117 lowkey Obama2012 Fudorm,2413 2339 2153 2028 1711 1608 248
1786,213,lowkey,1,1,50,29,21,,,,,,0,28,http://cta.critical-hq.net/chart.php?player=lowkey&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Obama2012 Helwor ergophonics Fudorm USA Sparkinator Anenemoos 20LbGenitals Assailant FwitG muahaha,11 8 5 5 4 4 4 4 2 2 1,Assailant Sparkinator Fudorm Obama2012 FwitG muahaha 20LbGenitals Anenemoos Helwor ergophonics USA fr33k,5 4 3 3 2 2 2 2 2 2 1 1,,,,
1787,213,Sparkinator,1,1,33,40,-7,,,,,,0,28,http://cta.critical-hq.net/chart.php?player=Sparkinator&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Obama2012 lowkey Assailant muahaha FwitG 20LbGenitals Anenemoos USA Helwor ergophonics fr33k,4 4 4 3 3 3 3 3 3 2 1,USA ergophonics lowkey Anenemoos Helwor FwitG Obama2012 20LbGenitals fr33k Assailant Fudorm,8 6 4 4 3 3 3 3 3 2 1,,,,
1788,213,ergophonics,1,1,33,35,-2,,,,,,0,27,http://cta.critical-hq.net/chart.php?player=ergophonics&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Helwor Sparkinator Assailant 20LbGenitals USA FwitG lowkey Fudorm fr33k muahaha Obama2012 Anenemoos,6 6 3 3 3 3 2 2 2 1 1 1,Assailant lowkey Fudorm fr33k FwitG muahaha Obama2012 Sparkinator Anenemoos 20LbGenitals USA Helwor,6 5 4 4 4 3 2 2 2 1 1 1,,,,
1789,213,20LbGenitals,1,1,31,21,10,,,,,,0,27,http://cta.critical-hq.net/chart.php?player=20LbGenitals&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Obama2012 FwitG USA Anenemoos Sparkinator fr33k Assailant lowkey Helwor ergophonics muahaha,5 5 4 4 3 3 2 2 1 1 1,lowkey USA fr33k ergophonics Sparkinator Obama2012 Fudorm FwitG Helwor Assailant,4 3 3 3 3 1 1 1 1 1,,,,
1790,213,USA,1,1,31,32,-1,,,,,,0,28,http://cta.critical-hq.net/chart.php?player=USA&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Sparkinator fr33k FwitG Anenemoos Fudorm 20LbGenitals Obama2012 muahaha Assailant ergophonics Helwor lowkey,8 4 4 3 3 3 1 1 1 1 1 1,Obama2012 Fudorm lowkey 20LbGenitals FwitG Sparkinator ergophonics Anenemoos Helwor fr33k,7 4 4 4 3 3 3 2 1 1,,,,
1791,213,fr33k,1,1,30,20,10,,,,,,0,27,http://cta.critical-hq.net/chart.php?player=fr33k&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,Anenemoos ergophonics 20LbGenitals Helwor Obama2012 Sparkinator Fudorm FwitG Assailant muahaha lowkey USA,5 4 3 3 3 3 2 2 2 1 1 1,USA 20LbGenitals Anenemoos ergophonics Assailant Helwor Sparkinator FwitG Fudorm Obama2012,4 3 3 2 2 2 1 1 1 1,,,,
1792,213,Obama2012,1,1,28,41,-13,,,,,,0,27,http://cta.critical-hq.net/chart.php?player=Obama2012&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,USA Sparkinator lowkey Helwor Anenemoos ergophonics muahaha Assailant 20LbGenitals fr33k FwitG,7 3 3 3 3 2 2 2 1 1 1,lowkey muahaha 20LbGenitals Sparkinator Helwor FwitG fr33k Fudorm Assailant USA ergophonics,11 5 5 4 4 3 3 2 2 1 1,,,,
1793,213,Assailant,0,2,27,24,3,,,,,,0,27,http://cta.critical-hq.net/chart.php?player=Assailant&matchID=213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ergophonics lowkey Helwor Fudorm Obama2012 fr33k Anenemoos Sparkinator 20LbGenitals muahaha,6 5 3 3 2 2 2 2 1 1,Sparkinator ergophonics Helwor 20LbGenitals Fudorm fr33k lowkey FwitG Obama2012 USA Anenemoos,4 3 3 2 2 2 2 2 2 1 1,,,,
