Number of Teams,Recharge Rate,Game ID,Laser Damage,Special Damage,Map,Game Mode,Date,Player Count,Referee
2,High,22108,Normal,Normal,CTA-Joy,Normal,2019-08-22 19:54:00,6,ElAsesino
2,High,22109,Normal,Normal,CTA-Joy,Normal,2019-08-22 20:39:00,8,paz
2,High,22110,Normal,Normal,CTA-Joy,Normal,2019-08-22 21:04:00,10,Venture
2,High,22111,Normal,Normal,CTA-Joy,Normal,2019-08-22 22:09:00,8,Venture
2,High,22112,Normal,Normal,CTA-Joy,Normal,2019-08-22 22:33:00,10,Venture
2,High,22113,Normal,Normal,CTA-Joy,Normal,2019-08-22 22:56:00,8,Atomos
2,High,22114,Normal,Normal,CTA-Joy,Normal,2019-08-22 23:26:00,8,tela
,,22115,,,,,,,
2,High,22116,Normal,Normal,CTA-Joy,Normal,2019-08-22 23:48:00,8,Lunu
2,High,22117,Normal,Normal,CTA-Joy,Normal,2019-08-23 00:14:00,8,paz
2,Normal,22118,Normal,Normal,CTA-Stank,Normal,2019-08-23 00:40:00,6,paz
2,High,22119,Normal,Normal,CTA-Joy,Normal,2019-08-23 21:02:00,8,Atomos
2,High,22120,Normal,Normal,CTA-Joy,Normal,2019-08-23 21:30:00,10,Atomos
2,High,22121,Normal,Normal,CTA-Joy,Normal,2019-08-23 21:54:00,8,Atomos
2,High,22122,Normal,Normal,CTA-Joy,Normal,2019-08-23 22:25:00,8,Lunu
2,High,22123,Normal,Normal,CTA-Joy,Normal,2019-08-23 23:08:00,10,tela
2,High,22124,Normal,Normal,CTA-Joy,Normal,2019-08-23 23:54:00,8,tela
2,High,22125,Normal,Normal,CTA-Joy,Normal,2019-08-24 00:33:00,10,Venture
2,High,22126,Normal,Normal,CTA-Joy,Normal,2019-08-24 00:58:00,12,Venture
2,High,22127,Normal,Normal,CTA-Joy,Normal,2019-08-24 01:26:00,12,Lunu
2,Normal,22128,Normal,Normal,CTA-Stank,Normal,2019-08-24 01:46:00,10,Lunu
2,High,22129,Normal,Normal,CTA-Strokin,Normal,2019-08-24 02:09:00,10,paz
2,Very High,22130,High,High,Hectic5.0,Normal,2019-08-24 02:29:00,8,Lunu
2,High,22131,Normal,Normal,CTA-Joy,Normal,2019-08-24 19:38:00,6,ElAsesino
2,High,22132,Normal,Normal,CTA-Joy,Normal,2019-08-24 20:10:00,6,ElAsesino
2,High,22133,Normal,Normal,CTA-Joy,Normal,2019-08-24 20:37:00,8,Lunu
2,High,22134,Normal,Normal,CTA-Joy,Normal,2019-08-24 21:13:00,6,Venture
2,High,22135,Normal,Normal,CTA-Joy,Normal,2019-08-24 21:42:00,8,ElAsesino
2,High,22136,Normal,Normal,CTA-Joy,Normal,2019-08-24 22:05:00,8,Atomos
2,High,22137,Normal,Normal,CTA-Joy,Normal,2019-08-24 22:29:00,8,nizem
2,High,22138,Normal,Normal,CTA-Joy,Normal,2019-08-24 22:58:00,8,tela
2,High,22139,Normal,Normal,CTA-Joy,Normal,2019-08-24 23:25:00,8,tela
2,High,22140,Normal,Normal,CTA-Joy,Normal,2019-08-24 23:53:00,8,paz
2,High,22141,Normal,Normal,CTA-Joy,Normal,2019-08-25 00:27:00,6,paz
2,High,22142,Normal,Normal,CTA-Joy,Normal,2019-08-25 01:00:00,6,paz
2,High,22143,Normal,Normal,CTA-Joy,Normal,2019-08-25 17:34:00,6,Atomos
2,High,22144,Normal,Normal,CTA-Joy,Normal,2019-08-25 17:55:00,8,Atomos
2,High,22145,Normal,Normal,CTA-Joy,Normal,2019-08-25 18:22:00,4,Atomos
2,High,22146,Normal,Normal,CTA-Joy,Normal,2019-08-25 18:46:00,8,Atomos
2,High,22147,Normal,Normal,CTA-Joy,Normal,2019-08-25 20:28:00,10,ElAsesino
2,High,22148,Normal,Normal,CTA-Joy,Normal,2019-08-25 20:52:00,10,ElAsesino
2,High,22149,Normal,Normal,CTA-Joy,Normal,2019-08-25 21:36:00,8,ElAsesino
2,High,22150,Normal,Normal,CTA-Joy,Normal,2019-08-25 22:04:00,10,paz
2,High,22151,Normal,Normal,CTA-Joy,Normal,2019-08-25 22:30:00,10,Venture
2,High,22152,Normal,Normal,CTA-Joy,Normal,2019-08-25 22:52:00,8,Venture
2,High,22153,Normal,Normal,CTA-Joy,Normal,2019-08-25 23:31:00,8,Venture
,,22154,,,,,,,
2,High,22155,Normal,Normal,CTA-Joy,Normal,2019-08-26 00:01:00,8,tela
2,High,22156,Normal,Normal,CTA-Joy,Normal,2019-08-26 00:34:00,6,Lunu
2,High,22157,Normal,Normal,CTA-Joy,Normal,2019-08-26 01:09:00,6,paz
2,High,22158,Normal,Normal,CTA-Joy,Normal,2019-08-26 20:33:00,8,Atomos
2,High,22159,Normal,Normal,CTA-Joy,Normal,2019-08-26 20:57:00,10,Atomos
2,High,22160,Normal,Normal,CTA-Joy,Normal,2019-08-26 21:24:00,8,Atomos
2,High,22161,Normal,Normal,CTA-Joy,Normal,2019-08-26 21:44:00,6,Atomos
2,High,22162,Normal,Normal,CTA-Joy,Normal,2019-08-26 22:29:00,8,race
2,High,22163,Normal,Normal,CTA-Joy,Normal,2019-08-26 23:00:00,8,tela
2,High,22164,Normal,Normal,CTA-Joy,Normal,2019-08-26 23:36:00,6,tela
2,High,22165,Normal,Normal,CTA-Joy,Normal,2019-08-27 00:13:00,8,tela
2,High,22166,Normal,Normal,CTA-Joy,Normal,2019-08-27 00:50:00,6,Venture
2,High,22167,Normal,Normal,CTA-Joy,Normal,2019-08-27 21:16:00,10,Venture
2,High,22168,Normal,Normal,CTA-Strokin,Normal,2019-08-27 21:46:00,8,Venture
2,High,22169,Normal,Normal,CTA-Joy,Normal,2019-08-27 22:18:00,8,Venture
2,High,22170,Normal,Normal,CTA-Joy,Normal,2019-08-27 22:41:00,10,Venture
2,High,22171,Normal,Normal,CTA-Joy,Normal,2019-08-27 22:56:00,10,Lunu
2,Normal,22172,Normal,Normal,CTA-Stank,Normal,2019-08-27 23:12:00,8,Lunu
2,High,22173,Normal,Normal,CTA-Insight,Normal,2019-08-27 23:35:00,8,Lunu
2,Very High,22174,High,High,StrongholdNODHT,Normal,2019-08-27 23:56:00,8,cyro
2,High,22175,Normal,Normal,CTA-Joy,Normal,2019-08-28 00:15:00,6,Lunu
2,High,22176,Normal,Normal,CTA-Joy,Normal,2019-08-28 19:59:00,8,paz
2,High,22177,Normal,Normal,CTA-Joy,Normal,2019-08-28 20:26:00,8,paz
2,High,22178,Normal,Normal,CTA-Joy,Normal,2019-08-28 20:51:00,10,Goobs
2,High,22179,Normal,Normal,CTA-Joy,Normal,2019-08-28 21:17:00,10,Lunu
2,High,22180,Normal,Normal,CTA-Joy,Normal,2019-08-28 21:38:00,10,Lunu
2,Very High,22181,High,High,Hectic5.0,Normal,2019-08-28 21:59:00,10,Lunu
2,High,22182,Normal,Normal,CTA-Gamma,Normal,2019-08-28 22:22:00,10,Lunu
2,High,22183,Normal,Normal,CTA-Joy,Normal,2019-08-28 22:37:00,10,tela
2,High,22184,Normal,Normal,CTA-Joy,Normal,2019-08-28 23:19:00,6,tela
2,High,22185,Normal,Normal,CTA-Joy,Normal,2019-08-28 23:48:00,8,paz
2,High,22186,Normal,Normal,CTA-Joy,Normal,2019-08-29 00:13:00,6,Lunu
2,High,22187,Normal,Normal,CTA-Joy,Normal,2019-08-29 00:39:00,10,paz
2,High,22188,Normal,Normal,CTA-Joy,Normal,2019-08-29 01:01:00,8,Venture
2,High,22189,Normal,Normal,CTA-Joy,Normal,2019-08-29 01:37:00,8,Venture
2,High,22190,Normal,Normal,CTA-Joy,Normal,2019-08-29 19:37:00,8,ElAsesino
,,22191,,,,,,,
2,High,22192,Normal,Normal,CTA-Joy,Normal,2019-08-29 20:19:00,8,Lunu
2,High,22193,Normal,Normal,CTA-Joy,Normal,2019-08-29 21:17:00,6,Atomos
,,22194,,,,,,,
2,High,22195,Normal,Normal,CTA-Joy,Normal,2019-08-29 21:44:00,10,paz
2,High,22196,Normal,Normal,CTA-Joy,Normal,2019-08-29 22:17:00,8,Venture
2,High,22197,Normal,Normal,CTA-Joy,Normal,2019-08-29 22:41:00,8,Goobs
2,High,22198,Normal,Normal,CTA-Joy,Normal,2019-08-29 23:16:00,6,Referee
2,High,22199,Normal,Normal,CTA-Joy,Normal,2019-08-30 00:32:00,8,tela
2,High,22200,Normal,Normal,CTA-Joy,Normal,2019-08-30 01:03:00,6,tela
2,High,22201,Normal,Normal,CTA-Joy,Normal,2019-08-30 01:40:00,8,paz
2,High,22202,Normal,Normal,CTA-Joy,Normal,2019-08-30 02:11:00,6,tela
2,High,22203,Normal,Normal,CTA-Joy,Normal,2019-08-30 20:29:00,6,Venture
2,High,22204,Normal,Normal,CTA-Joy,Normal,2019-08-30 21:11:00,6,Venture
2,High,22205,Normal,Normal,CTA-Joy,Normal,2019-08-30 21:47:00,10,Venture
2,High,22206,Normal,Normal,CTA-Joy,Normal,2019-08-30 22:16:00,8,Goobs
2,High,22207,Normal,Normal,CTA-Joy,Normal,2019-08-30 22:41:00,10,paz
2,High,22208,Normal,Normal,CTA-Joy,Normal,2019-08-30 23:24:00,6,paz
2,High,22209,Normal,Normal,CTA-Joy,Normal,2019-08-30 23:58:00,6,paz
2,High,22210,Normal,Normal,CTA-Joy,Normal,2019-08-31 00:24:00,10,paz
2,High,22211,Normal,Normal,CTA-Joy,Normal,2019-08-31 00:51:00,10,paz
2,High,22212,Normal,Normal,CTA-Joy,Normal,2019-08-31 01:19:00,10,paz
2,High,22213,Normal,Normal,CTA-Joy,Normal,2019-08-31 01:57:00,8,paz
2,High,22214,Normal,Normal,CTA-Joy,Normal,2019-08-31 23:02:00,8,Venture
2,High,22215,Normal,Normal,CTA-Joy,Normal,2019-08-31 23:39:00,8,Venture
2,Very High,22216,Normal,High,GoodCompany0.1,Normal,2019-08-31 23:55:00,12,Venture
2,Very High,22217,High,Normal,BaitOrSwitch2,Normal,2019-09-01 00:14:00,10,Venture
2,High,22218,Normal,Normal,CTA-Joy,Normal,2019-09-01 00:37:00,10,tela
2,High,22219,Normal,Normal,CTA-Joy,Normal,2019-09-01 01:12:00,8,Lunu
2,High,22220,Normal,Normal,CTA-Joy,Normal,2019-09-01 22:25:00,6,tela
2,High,22221,Normal,Normal,CTA-Joy,Normal,2019-09-01 23:14:00,10,Venture
2,High,22222,Normal,Normal,synapse0.1,Normal,2019-09-01 23:51:00,12,Venture
2,High,22223,Normal,Normal,Mu.0.1,Normal,2019-09-02 00:10:00,14,Venture
2,Very High,22224,High,Normal,BaitOrSwitch2,Normal,2019-09-02 00:34:00,12,Venture
2,Very High,22225,High,High,StrongholdNODHT,Normal,2019-09-02 00:59:00,12,Lunu
2,High,22226,Normal,Normal,CTA-Joy,Normal,2019-09-02 01:29:00,8,Lunu
2,High,22227,Normal,Normal,CTA-Joy,Normal,2019-09-02 01:59:00,8,tela
2,High,22228,Normal,Normal,CTA-Joy,Normal,2019-09-02 02:25:00,8,paz
2,High,22229,Normal,Normal,CTA-Joy,Normal,2019-09-02 02:52:00,6,paz
2,High,22230,Normal,Normal,CTA-Joy,Normal,2019-09-02 21:12:00,6,ElAsesino
2,High,22231,Normal,Normal,CTA-Joy,Normal,2019-09-02 21:51:00,8,Goobs
2,High,22232,Normal,Normal,CTA-Joy,Normal,2019-09-02 22:22:00,8,Atomos
2,High,22233,Normal,Normal,CTA-Joy,Normal,2019-09-02 23:07:00,10,Atomos
2,High,22234,Normal,Normal,CTA-Joy,Normal,2019-09-02 23:44:00,8,Goobs
2,High,22235,Normal,Normal,CTA-Joy,Normal,2019-09-03 19:14:00,6,BadGuy
2,Normal,22236,Normal,Normal,CTA-BFD,Normal,2019-09-03 20:14:00,8,Venture
2,High,22237,Normal,Normal,CTA-Joy,Normal,2019-09-03 20:47:00,6,Venture
2,High,22238,Normal,Normal,CTA-Joy,Normal,2019-09-03 21:13:00,10,ElAsesino
2,High,22239,Normal,Normal,CTA-Joy,Normal,2019-09-03 21:36:00,10,Lunu
2,High,22240,Normal,Normal,CTA-Joy,Normal,2019-09-03 21:54:00,10,Lunu
2,High,22241,Normal,Normal,CTA-Joy,Normal,2019-09-03 22:21:00,10,tela
2,High,22242,Normal,Normal,CTA-Joy,Normal,2019-09-03 22:55:00,8,tela
2,High,22243,Normal,Normal,CTA-Joy,Normal,2019-09-04 20:19:00,6,ElAsesino
2,High,22244,Normal,Normal,CTA-Joy,Normal,2019-09-04 22:01:00,8,paz
2,High,22245,Normal,Normal,CTA-Joy,Normal,2019-09-04 22:25:00,8,Atomos
2,High,22246,Normal,Normal,CTA-Joy,Normal,2019-09-04 22:56:00,8,Atomos
2,High,22247,Normal,Normal,CTA-Joy,Normal,2019-09-04 23:15:00,6,Atomos
2,High,22248,Normal,Normal,CTA-Joy,Normal,2019-09-05 00:11:00,6,Venture
2,High,22249,Normal,Normal,CTA-Joy,Normal,2019-09-05 00:50:00,6,Venture
1,,22250,,,CTA-SmallFlag,Normal,2019-09-05 19:26:00,4,paz
2,High,22251,Normal,Normal,CTA-Joy,Normal,2019-09-05 20:01:00,6,paz
2,High,22252,Normal,Normal,CTA-Joy,Normal,2019-09-05 20:31:00,6,paz
2,High,22253,Normal,Normal,CTA-Joy,Normal,2019-09-05 21:03:00,8,paz
2,High,22254,Normal,Normal,CTA-Joy,Normal,2019-09-05 21:27:00,6,Goobs
2,High,22255,Normal,Normal,CTA-Joy,Normal,2019-09-05 21:49:00,10,Goobs
2,High,22256,Normal,Normal,CTA-Joy,Normal,2019-09-05 22:20:00,6,Atomos
2,High,22257,Normal,Normal,CTA-Joy,Normal,2019-09-05 23:05:00,10,Atomos
,,22258,,,,,,,
,,22259,,,,,,,
2,High,22260,Normal,Normal,CTA-Joy,Normal,2019-09-06 00:16:00,8,tela
