Player,Outcome,Kills,Deaths,+/-,Flag Captures,Flag Attempts,Score,Time Played,Damage Dealt,Damage Taken,DR,DKR,DDF,Laser DD,Laser DT,Missile DD,Missile DT,Grenade DD,Grenade DT,Bouncy DD,Bouncy DT,Rating
Masta,0.4967663702506063,16.88075990299111,14.804769603880356,2.0759902991107517,0.5750101091791346,2.194500606550748,1.624090541632983,21.061843168957154,4702.526677445432,4291.845998383185,1.1204646028520395,298.6297493936944,276.6641067097817,3013.8787388843975,2589.6507679870656,162.11721907841553,188.9777687954729,498.78738884397734,519.9284559417947,1027.743330638642,993.289005658852,2512.0
Mercenary,0.4735945485519591,15.20954003407155,19.20954003407155,-4.0,0.5570698466780238,2.0511073253833048,1.72572402044293,21.31686541737649,4110.238500851789,5233.788756388416,0.7995082969733951,290.1550255536627,308.8313458262351,2615.2385008517886,3272.8858603066437,245.1107325383305,311.70868824531516,380.8415672913118,483.1379897785349,869.0477001703578,1166.0562180579216,1801.0
MrJimps,0.5046055266319583,13.101722066479775,18.97797356828194,-5.876251501802162,0.5482579094913896,1.9263115738886665,1.684221065278334,21439.04385262315,3799.8740488586304,5022.020224269123,0.7690562071653848,316.39887865438527,270.0500600720865,2512.235883059672,3144.2943532238687,120.28334000800962,331.35042050460555,341.7815378454145,421.6595915098118,825.5732879455346,1124.715859030837,1318.0
Odoacer,0.5373665480427047,18.494661921708186,13.804270462633452,4.690391459074733,0.6120996441281139,2.2437722419928825,1.7188612099644127,21.88256227758007,5503.330960854092,4152.483985765125,1.3504129868554873,316.2740213523132,321.34341637010675,3728.081850533808,2558.7135231316724,174.15480427046262,160.48932384341637,508.7508896797153,449.47686832740214,1092.3434163701068,983.8042704626334,3692.0
Ominous,0.5675675675675675,16.56756756756757,14.54054054054054,2.027027027027027,0.5945945945945946,1.864864864864865,1.4594594594594594,21.81081081081081,4607.891891891892,4219.5675675675675,1.1127685944533319,294.5405405405405,283.86486486486484,2858.864864864865,2450.4324324324325,119.27027027027027,225.40540540540542,575.6756756756756,578.2432432432432,1054.081081081081,965.4864864864865,2300.0
Oreo,0.42857142857142855,9.0,19.37142857142857,-10.371428571428572,0.7714285714285715,1.9714285714285715,1.4857142857142858,20.4,2464.3142857142857,4940.085714285714,0.49941479140142003,305.62857142857143,219.65714285714284,1543.8857142857144,3300.8285714285716,70.05714285714286,408.4,252.88571428571427,365.0571428571429,597.4857142857143,865.8,2095.0
Oroshi,0.27906976744186046,14.465116279069768,15.534883720930232,-1.069767441860465,0.3023255813953488,1.1162790697674418,1.441860465116279,19.186046511627907,3756.6744186046512,4348.46511627907,0.8769641870902397,274.1860465116279,217.7674418604651,2622.8372093023254,2744.4651162790697,111.48837209302326,231.25581395348837,299.7906976744186,411.69767441860466,722.5581395348837,961.046511627907,1766.0
Osisity,0.5490196078431373,17.209150326797385,18.895424836601308,-1.6862745098039216,0.45751633986928103,1.9607843137254901,1.8169934640522876,22.07843137254902,4833.21568627451,5247.7908496732025,0.9390221142990354,304.3267973856209,251.67320261437908,2972.098039215686,3339.823529411765,424.7450980392157,279.078431372549,450.437908496732,474.0457516339869,985.9346405228758,1154.8431372549019,2698.0
Parrotman,0.5049292756108016,19.34504929275611,16.220745820831546,3.1243034719245606,0.5707547169811321,1.9416809605488852,1.6090870124303471,20.975567938276896,5588.908701243035,4705.460351478782,1.2122621089077061,302.9957136733819,331.7698242606087,3545.9832833261894,2812.0218602657524,189.7711101585941,241.09644234890698,562.8975567938277,575.6785255036434,1290.2567509644234,1076.66352336048,3178.0
Photon,0.48483045806067815,17.234979179060083,15.635930993456276,1.5990481856038072,0.5014872099940512,1.5020820939916717,1.5746579417013682,21.086853063652587,4668.566329565735,4473.365258774539,1.0686993403793665,288.471743010113,291.69244497323024,2640.2421177870315,2749.512790005949,336.3813206424747,272.1451516954194,549.5930993456276,437.52409280190363,1142.3497917906009,1014.1832242712671,1684.0
